"11_Media_level_at_ar","12_Media_added","13_Burp_volume","14_Volume_when_leavi","16_Exudate_present","17_Collect_exudate","18_Vol_collected_mL","19_Vol_total_mL","20_Hex_Code","21_Color_of_Exudate","22_Solid_Material_Pr","23_Notes_on_Exudate","25_Took_photos_today","26_1","27_2","28_3","29_4","30_5","31_6","32_7","33_8","34_9","35_10","36_11","37_12","38_13","39_14","40_15","41_16","42_17","43_18","44_19","45_20","46_21","47_22","48_23","49_24","50_25","51_26","52_27","53_28","54_29","55_30","56_Morphology_notes_","9_Which_chamber","created_at","ec5_branch_owner_uuid","ec5_branch_uuid","title","uploaded_at"
"29","[""No""]","5","23","[""Yes""]","[""No""]","13.5","27","#5e643d","[""Green""]","","media","[""No""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","B4","8/26/2026 2:52:48 PM","832ee130-9207-11f1-a0ac-03e2707c61cb","00f184e8-2db6-47e7-a427-3404eb9bea69","B4","8/26/2026 2:52:59 PM"
"2","[""Yes""]","5","45","[""No""]","[""No""]","","","","[]","","","[""Yes""]","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=01a0f9bd-c8ee-4e84-bc2b-aff223e8b4bd_1788751143.jpg&v=1788751175","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=01a0f9bd-c8ee-4e84-bc2b-aff223e8b4bd_1788751151.jpg&v=1788751175","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=01a0f9bd-c8ee-4e84-bc2b-aff223e8b4bd_1788751154.jpg&v=1788751175","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=01a0f9bd-c8ee-4e84-bc2b-aff223e8b4bd_1788751159.jpg&v=1788751175","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=01a0f9bd-c8ee-4e84-bc2b-aff223e8b4bd_1788751163.jpg&v=1788751175","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=01a0f9bd-c8ee-4e84-bc2b-aff223e8b4bd_1788751166.jpg&v=1788751175","","","","","","","","","","","","","","","","","","","","","","","","","","D1","8/28/2026 3:25:09 AM","559b5ba0-9206-11f1-b91a-4736f6a951ba","01a0f9bd-c8ee-4e84-bc2b-aff223e8b4bd","D1","9/7/2026 3:19:35 AM"
"40","[""No""]","4","32","[""Yes""]","[""No""]","","","","[""Green""]","","media","[""No""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D4","8/29/2026 7:04:24 PM","1adbaf60-9206-11f1-9518-87ccf2fafc79","01b80487-b5a1-4df3-9015-3fc0502981b0","D4","8/29/2026 7:04:56 PM"
"52","[""No""]","10","42","[""Yes""]","[""Yes""]","12.5","12.5","","[""Yellow""]","","It is like a sickly yellow, like a pale yellow. NOTE FROM VIAL STAGE: There was a green mold-looking thing in the frozen part, but we lost 3 mL once we transferred the exudate to the new container.","[""Yes""]","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715733.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715745.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715792.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715796.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715800.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715803.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715806.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715809.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715812.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715816.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715823.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715826.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715833.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715836.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715839.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715841.jpg&v=1788715853","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=023719bf-6ad9-49f9-93a8-67d3e89ee6d4_1788715844.jpg&v=1788715853","","","","","","","","","","","","","","Visible yellow/clearish exudates dripping downward on side of mycelia, on the left of the long brown line. Contamination: Confirmed. Colonization: Fully colonized (over 90%). Surface density: Dense, thick mycelial tissue. Edge activity: Moderate active growth. Exudophore formation: Visible localized exudates, no branches. Exudate localization: Mature central region. Localization density: sparse. Media notes: The media in the syringe is foamy, and the humidity is getting in the top of the syringe (hopefully not inside.).","A1","8/29/2026 9:09:20 PM","a727c810-9205-11f1-bca9-83b388c0a0a4","023719bf-6ad9-49f9-93a8-67d3e89ee6d4","A1","9/6/2026 5:30:53 PM"
"","[""Yes""]","","60","[""No""]","[""No""]","","","","[]","","*ADDED TO CHAMBER TODAY*","[""Yes""]","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02ad8f8a-5cbf-41c6-ab6a-eb3493e150b2_1788711864.jpg&v=1788711877","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02ad8f8a-5cbf-41c6-ab6a-eb3493e150b2_1788711867.jpg&v=1788711877","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02ad8f8a-5cbf-41c6-ab6a-eb3493e150b2_1788711870.jpg&v=1788711877","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02ad8f8a-5cbf-41c6-ab6a-eb3493e150b2_1788711873.jpg&v=1788711877","","","","","","","","","","","","","","","","","","","","","","","","","","","","B4","8/29/2026 7:34:06 PM","780c9ba0-9205-11f1-bc95-0954c57f36fb","02ad8f8a-5cbf-41c6-ab6a-eb3493e150b2","B4","9/6/2026 4:24:37 PM"
"9","[""Yes""]","10","44","[""Yes""]","[""Yes""]","13.6","46.6","#6D5A1E","[""Brown yellow""]","","","[""Yes""]","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045108.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045119.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045127.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045137.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045144.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045150.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045157.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045163.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045169.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045174.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045181.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045192.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045209.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045215.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045222.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045250.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045256.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045260.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045289.jpg&v=1788045353","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=02b82a41-2226-4737-8866-aed9f18a1d91_1788045294.jpg&v=1788045353","","","","","","","","","","","","D3","8/26/2026 2:48:40 PM","992fd070-9207-11f1-b651-5d6fce51deb5","02b82a41-2226-4737-8866-aed9f18a1d91","D3","8/29/2026 11:15:53 PM"
"20","[""No""]","4","16","[""Yes""]","[""Yes""]","15","16","#452E00","[""Brown""]","","","[""No""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D1","8/26/2026 5:33:34 PM","29a87bd0-9207-11f1-9186-31d4e5d7aabc","0422b501-e7fd-4f94-883a-d3246835bf0d","D1","8/26/2026 5:33:51 PM"
"5","[""Yes""]","3","55","[""No""]","[""Yes""]","","","#8D7847","[]","","","[""No""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","D3","8/26/2026 5:22:58 PM","3cb0c480-9207-11f1-8555-b77c5e5555d6","053b03d5-4d1a-4f5c-8b87-b5d01263c296","D3","8/26/2026 5:23:17 PM"
"48","[""No""]","11","34","[""Yes""]","[""Yes""]","14.7","17","#9c9153","[""Yellow""]","","","[""Yes""]","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748252.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748260.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748264.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748268.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748271.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748274.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748277.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748280.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748284.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748287.jpg&v=1788748303","https://five.epicollect.net/api/media/mycoponics-porterfield?type=photo&format=entry_original&name=056ca0df-c95c-4327-a15b-af60201dd49c_1788748294.jpg&v=1788748303","","","","","","","","","","","","","","","","","","","","","A4","8/29/2026 7:08:22 PM","dac34c80-9205-11f1-ba5f-319f359841fc","056ca0df-c95c-4327-a15b-af60201dd49c","A4","9/7/2026 2:31:43 AM"
"13","[""No""]","","","[""No""]","[""Yes""]","4.3","4.3","#6e6e54","[]","","today i collected the exudates from yesterday a day late. there were literally no exudates today.","[""Yes""]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dripping on the bottom!!","A4","8/26/2026 5:20:18 PM","45476810-9207-11f1-8555-b77c5e5555d6","059297fa-95a8-4f8a-8b77-2abc509ceccd","A4","8/26/2026 5:20:23 PM"
